actor_1,actor_2,confidence_score,confidence_level,matched_features
ACT-A3B509D1,ACT-DUP-0003,93.28,High Confidence,"Similar name (92%); Similar alias (81%); Same nationality (Indian); Same region (Tamil Nadu); Shared corridor (Visakhapatnam–Mombasa, Chennai Port–Mombasa)"
ACT-DUP-0009,ACT-DUP-0010,87.24,High Confidence,"Similar name (90%); Same nationality (Mozambican); Same region (Uganda); Shared corridor (Kochi Port–Maputo, Chennai Port–Mombasa)"
ACT-DUP-0005,ACT-DUP-0006,85.73,High Confidence,"Similar name (88%); Same nationality (Mozambican); Same region (Mozambique); Shared corridor (Kochi Port–Dar es Salaam, Mumbai Port–Durban)"
ACT-A3B509D1,ACT-DUP-0004,82.22,High Confidence,"Similar name (83%); Same nationality (Indian); Same region (Tamil Nadu); Shared corridor (Visakhapatnam–Mombasa, Chennai Port–Mombasa)"
ACT-DUP-0003,ACT-DUP-0004,77.5,Possible Match,"Similar name (75%); Same nationality (Indian); Same region (Tamil Nadu); Shared corridor (Chennai Port–Mombasa, Visakhapatnam–Mombasa)"
ACT-DUP-0007,ACT-DUP-0008,76.8,Possible Match,"Similar name (72%); Same nationality (Kenyan); Same region (Kenya); Shared corridor (Chennai Port–Mombasa, Kochi Port–Dar es Salaam)"
ACT-7353F8D0,ACT-0BE618C7,74.93,Possible Match,Similar name (71%); Similar alias (81%); Same region (Tanzania); Shared corridor (Mumbai Port–Dar es Salaam)
ACT-0D3A69A7,ACT-3EC2CAB2,73.3,Possible Match,Similar name (72%); Same nationality (Indian); Same region (West Bengal); Shared corridor (Kochi Port–Maputo)
ACT-3EC2CAB2,ACT-866A9666,71.89,Possible Match,Similar name (66%); Same nationality (Indian); Same region (West Bengal); Shared corridor (Kochi Port–Maputo)
ACT-C1CE62FB,ACT-F73F1F34,70.96,Possible Match,Similar alias (62%); Same nationality (Indian); Same region (West Bengal); Shared corridor (Visakhapatnam–Mombasa)
ACT-4A810E54,ACT-DUP-0009,70.11,Possible Match,"Similar name (93%); Similar alias (88%); Shared corridor (Kochi Port–Maputo, Tuticorin Port–Maputo)"
ACT-6C2A62E9,ACT-DUP-0005,69.45,Possible Match,"Similar name (91%); Similar alias (88%); Shared corridor (Kochi Port–Dar es Salaam, Tuticorin Port–Maputo)"
ACT-0D3A69A7,ACT-866A9666,68.49,Possible Match,Same nationality (Indian); Same region (West Bengal); Shared corridor (Kochi Port–Maputo)
ACT-C1CE62FB,ACT-BA821236,68.19,Possible Match,Same nationality (Indian); Same region (West Bengal); Shared corridor (Kochi Port–Durban)
ACT-71CD333C,ACT-2F205955,67.78,Possible Match,Same nationality (Indian); Same region (Kerala); Shared corridor (Tuticorin Port–Maputo)
ACT-A9210483,ACT-F20CA79B,67.56,Possible Match,Same nationality (Indian); Same region (West Bengal); Shared corridor (Visakhapatnam–Mombasa)
ACT-DUP-0001,ACT-DUP-0002,67.43,Possible Match,"Same nationality (Mozambican); Same region (South Africa); Shared corridor (Kochi Port–Dar es Salaam, Mumbai Port–Durban)"
ACT-4A810E54,ACT-DUP-0010,67.04,Possible Match,"Similar name (96%); Similar alias (66%); Shared corridor (Kochi Port–Maputo, Chennai Port–Dar es Salaam)"
ACT-866A9666,ACT-CAA8911E,66.53,Possible Match,Similar name (72%); Similar alias (63%); Same nationality (Indian); Shared corridor (Kochi Port–Maputo)
