message_id,sender_actor,receiver_actor,timestamp,chat_group,message_text,contains_slang,linked_route
MSG-E19DC88F,ACT-C8A0BC45,ACT-001930AF,2024-01-06 03:18:26,LOGISTICS_GRP_B,Delivery confirmed. Despite sound receive let newspaper true.,False,
MSG-69092485,ACT-DC4BFFE4,ACT-EA441661,2024-01-22 22:14:30,NET_CHANNEL_3,Truck is loaded. Trial receive region however dream focus executive.,False,
MSG-4BAFD71C,ACT-45C722DA,ACT-DD3ED62E,2024-01-23 01:31:35,NET_CHANNEL_3,"Extra blue bird available, contact me privately.",True,RTE-3623DB4A
MSG-6507A5DD,ACT-157A0D7D,ACT-DUP-0002,2024-02-05 00:40:28,NET_CHANNEL_4,"Payment received, proceed. Fine fine effort well.",False,
MSG-2FA8B698,ACT-F70E04EC,ACT-9150A102,2024-02-08 12:26:48,LOGISTICS_GRP_F,Delivery confirmed. Herself our far measure involve soldier.,False,
MSG-141EE530,ACT-5535B8FF,ACT-F8FB00AA,2024-02-10 07:56:23,LOGISTICS_GRP_F,Send the updated manifest. Occur college herself catch feeling.,False,
MSG-D9986928,ACT-C48421F9,ACT-DBBBE5BC,2024-02-11 16:40:05,LOGISTICS_GRP_C,When does the shipment arrive? However score job least.,False,
MSG-76CE072E,ACT-5BCEA423,ACT-DUP-0001,2024-02-14 20:31:10,NET_CHANNEL_2,"Payment received, proceed. Many pattern leader career according how success here.",False,
MSG-E595A080,ACT-0BE618C7,ACT-157A0D7D,2024-02-15 00:55:32,NET_CHANNEL_4,Confirm brown parcel delivery before sunrise.,True,RTE-9EC78713
MSG-58A54E03,ACT-EA441661,ACT-DD3ED62E,2024-02-18 10:39:05,NET_CHANNEL_3,"Extra jungle fruit available, contact me privately.",True,RTE-BEF74FCD
MSG-0C8B2EFE,ACT-1B6D6C5C,ACT-8A3A138F,2024-02-19 02:04:41,LOGISTICS_GRP_D,We need to move faster. Improve important offer by first avoid letter.,False,
MSG-A90E7A48,ACT-EA441661,ACT-45C722DA,2024-02-20 09:09:21,NET_CHANNEL_3,"Extra night delivery available, contact me privately.",True,RTE-837DA83F
MSG-230BF637,ACT-480A6546,ACT-EBD0B65D,2024-02-21 01:06:07,LOGISTICS_GRP_C,The weather looks good today. Story million fight class.,False,
MSG-1BC14648,ACT-EBD0B65D,ACT-157A0D7D,2024-02-21 23:32:56,NET_CHANNEL_4,"Waiting for the night delivery handover, be patient.",True,RTE-15641305
